nr;U common;obciążenie wyjścia INA199;B;A;U common;obciążenie wyjścia INA199;B;A;U common;obciążenie wyjścia INA199;B;A;U common;obciążenie wyjścia INA199;B;A;U common;obciążenie wyjścia INA199;B;A;U common;obciążenie wyjścia INA199;B;A;U common;obciążenie wyjścia INA199;B;A;U common;obciążenie wyjścia INA199;B;A
NR338;3,700000;NO;2,495688;-1,503108;3,700000;YES;2,495951;-1,503024;7,400000;NO;2,495587;-1,503195;7,400000;YES;2,496043;-1,503301;12,000000;NO;2,495715;-1,503298;12,000000;YES;2,495634;-1,502995;18,000000;NO;2,495175;-1,503836;18,000000;YES;2,495506;-1,503447
NR339;3,700000;NO;2,499954;-1,507115;3,700000;YES;2,500411;-1,506035;7,400000;NO;2,500867;-1,506150;7,400000;YES;2,500875;-1,506165;12,000000;NO;2,501198;-1,506171;12,000000;YES;2,501067;-1,506133;18,000000;NO;2,500885;-1,506520;18,000000;YES;2,500882;-1,506392
NR217;3,700000;NO;2,509747;-1,504039;3,700000;YES;2,510520;-1,503458;7,400000;NO;2,510544;-1,503764;7,400000;YES;2,510716;-1,503245;12,000000;NO;2,510242;-1,504041;12,000000;YES;2,510592;-1,503806;18,000000;NO;2,510908;-1,503787;18,000000;YES;2,510693;-1,503917
NR218;3,700000;NO;2,506522;-1,508071;3,700000;YES;2,507442;-1,507637;7,400000;NO;2,507750;-1,507538;7,400000;YES;2,507592;-1,507722;12,000000;NO;2,507738;-1,507891;12,000000;YES;2,507805;-1,507601;18,000000;NO;2,508328;-1,507808;18,000000;YES;2,508096;-1,507886
NR220;3,700000;NO;2,495656;-1,499928;3,700000;YES;2,496009;-1,499216;7,400000;NO;2,495947;-1,499662;7,400000;YES;2,495884;-1,499357;12,000000;NO;2,495902;-1,499555;12,000000;YES;2,496021;-1,499477;18,000000;NO;2,496012;-1,499723;18,000000;YES;2,496208;-1,499732
NR219;3,700000;NO;2,505188;-1,502958;3,700000;YES;2,505807;-1,502444;7,400000;NO;2,505842;-1,502427;7,400000;YES;2,506001;-1,502344;12,000000;NO;2,505968;-1,502908;12,000000;YES;2,506159;-1,502291;18,000000;NO;2,506261;-1,502889;18,000000;YES;2,506383;-1,502901
NR274;3,700000;NO;2,513058;-1,517449;3,700000;YES;2,513372;-1,516714;7,400000;NO;2,513777;-1,516812;7,400000;YES;2,513480;-1,516570;12,000000;NO;2,513927;-1,516967;12,000000;YES;2,513578;-1,516975;18,000000;NO;2,514178;-1,517233;18,000000;YES;2,514022;-1,516942
NR275;3,700000;NO;2,508068;-1,500493;3,700000;YES;2,508470;-1,500059;7,400000;NO;2,507977;-1,500517;7,400000;YES;2,508371;-1,500328;12,000000;NO;2,508517;-1,500278;12,000000;YES;2,508080;-1,500154;18,000000;NO;2,507935;-1,500684;18,000000;YES;2,507968;-1,500908
NR276;3,700000;NO;2,499509;-1,503457;3,700000;YES;2,499844;-1,502231;7,400000;NO;2,499733;-1,502335;7,400000;YES;2,500010;-1,502470;12,000000;NO;2,500005;-1,502318;12,000000;YES;2,499876;-1,502937;18,000000;NO;2,500024;-1,502978;18,000000;YES;2,499673;-1,503056
NR312;3,700000;NO;2,511763;-1,503609;3,700000;YES;2,512329;-1,502840;7,400000;NO;2,511638;-1,503128;7,400000;YES;2,511786;-1,502954;12,000000;NO;2,511439;-1,502674;12,000000;YES;2,511337;-1,503119;18,000000;NO;2,510529;-1,503049;18,000000;YES;2,510299;-1,503593
